,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
0,Store Business Manager - DAVID JONES CHERMSIDE,M.J. Bale,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-13,Not Applicable,Sales and Business Development,Full-time,Government Administration,99554.0,113239.0,3206.0,224.0,6.0
1,Full-time,Gatesman,"Chicago, IL",Be an early applicant,2023-03-31,,,,,148394.0,169897.0,,338.0,13.0
2,Senior Machine Learning Engineer,Redwolf + Rosch,"Adelaide, South Australia, Australia",Be an early applicant,2023-04-25,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing,86699.0,108834.0,1241.0,309.0,12.0
3,Senior Data Scientist,Bupa,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-29,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",78557.0,123938.0,2872.0,490.0,3.0
4,"
            
        Solution Architect
      
          ","
            Xybion Digital
          ","
            Chennai, Tamil Nadu, India
          ","
         Be an early applicant
      ",2023-01-26,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Computer Networking Products
          ",197930.0,240751.0,3138.0,51.0,8.0
5,"
            
        Lead Data Scientist
      
          ","
            Spinny
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-02-24,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Full-time
        ","
          Advertising Services
          ",152432.0,176610.0,4148.0,115.0,8.0
6,Calling All Data Scientists & Data Analysts,Endeavour Group,"Sydney, New South Wales, Australia",Actively Hiring,2023-03-28,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing,,172195.0,1464.0,271.0,7.0
7,Blockchain Engineer,Turing,India,Actively Hiring,2023-03-31,Mid-Senior level,Engineering and Information Technology,Full-time,Financial Services,29998.0,79716.0,2467.0,90.0,3.0
8,"
            
        Senior Software Engineer (FullStack - React/PHP/Node/AWS)
      
          ","
            Squiz
          ","
            Brisbane, Queensland, Australia
          ","
         Actively Hiring
      ",2023-02-10,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",,198000.0,328.0,19.0,8.0
9,"
            
        项目文员
      
          ","
            Highpower International Inc.
          ","
            Shenzhen, Guangdong, China
          ",Actively Hiring,2023-03-01,"
            Mid-Senior level
          ","
            Information Technology
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Software Development
          ",76009.0,100691.0,,408.0,6.0
10,Full-Stack/Front-End Developer,Digantara,"Bengaluru, Karnataka, India",Actively Hiring,2023-02-06,Entry level,Engineering,Full-time,Defense and Space Manufacturing,128670.0,148768.0,2010.0,72.0,9.0
11,Executive Assistant,Sony Music Publishing,"New York, United States",Actively Hiring,2023-04-06,Mid-Senior level,Administrative,Full-time,"IT Services and IT Consulting, Venture Capital and Private Equity Principals, and Financial Services",187513.0,207115.0,723.0,220.0,5.0
12,Senior DevOps Engineer (m/f/d). Remote,Glassnode,Germany,Be an early applicant,2023-04-13,Mid-Senior level,Other,Full-time,IT Services and IT Consulting,32769.0,74758.0,2573.0,160.0,13.0
13,Executive Assistant - Strategic Delivery Group,,"Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-04-27,Mid-Senior level,Other and Health Care Provider,Full-time,"Government Relations Services, Government Administration, and Hospitals and Health Care",151515.0,159823.0,2335.0,369.0,14.0
14,"
            
        Project Manager
      
          ","
            JD Ross Energy
          ","
            New York City Metropolitan Area
          ","
         Actively Hiring
      ",2023-02-27,"
            Mid-Senior level
          ","
            Engineering and Project Management
          ","
          Full-time
        ","
          Renewable Energy Semiconductor Manufacturing
          ",88803.0,93864.0,,384.0,12.0
15,Frontend Developer,99Yellow,"Bengaluru North, Karnataka, India","
         Actively Hiring
      ",2022-09-15,Associate,Engineering and Information Technology,Full-time,Human Resources Services,48580.0,66003.0,1853.0,272.0,3.0
16,HR Generalist,National Grid Renewables,"Bloomington, MN",Be an early applicant,2023-04-10,Mid-Senior level,Human Resources,Full-time,Metal Treatments,96292.0,135194.0,1437.0,484.0,3.0
17,"
            
        文员
      
          ","
            China Railway Construction Co., Ltd.
          ","
            Zhuhai, Guangdong, China
          ","
         Be an early applicant
      ",2023-02-09,"
            Not Applicable
          ","
            Other
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Real Estate
          ",82463.0,110624.0,4954.0,200.0,8.0
18,"
            
        Personal Assistant To Chief Executive Officer
      
          ","
            BrandOpus
          ","
            London, England, United Kingdom
          ","
         Actively Hiring
      ",2023-03-01,"
          Full-time
        ",,,,137474.0,177258.0,2627.0,30.0,5.0
19,"
            
        Junior Project Manager / Full-time (Remote)
      
          ","
            HireMatch
          ","
            Indianapolis, IN
          ","
         Actively Hiring
      ",2023-02-22,"
            Mid-Senior level
          ","
            Project Management and Information Technology
          ","
          Full-time
        ","
          Construction
          ",,117536.0,,220.0,0.0
20,"
            
        Senior Marketing Manager
      
          ","
            JW Marriott
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-01,"
            Mid-Senior level
          ","
            Marketing
          ","
          Full-time
        ","
          Hotels and Motels
          ",65131.0,,815.0,419.0,11.0
21,Sr. Decision Scientist,ZipRecruiter,"Palo Alto, CA",Be an early applicant,2023-04-15,Not Applicable,Engineering and Information Technology,Full-time,Software Development,78099.0,,30.0,356.0,
22,Junior Software Developer,BTS,"Portsmouth, England, United Kingdom",Be an early applicant,2023-03-14,Entry level,Engineering and Information Technology,Full-time,Design Services,56185.0,82947.0,20.0,34.0,3.0
23,Application developer Full Stack,"Donato Technologies, Inc.","Phoenix, AZ",Be an early applicant,2022-11-10,Mid-Senior level,Engineering and Information Technology,Contract,IT Services and IT Consulting,132451.0,152233.0,1977.0,408.0,8.0
24,"
            
        HR Manager
      
          ","
            GM Infotech
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-01-18,"
            Mid-Senior level
          ","
            Human Resources
          ","
          Contract
        ","
          IT Services and IT Consulting
          ",112446.0,136992.0,4001.0,473.0,12.0
25,Senior Data Scientist,Recruiting from Scratch,"Oakland, CA",Be an early applicant,2023-02-28,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,32975.0,75536.0,3435.0,458.0,1.0
26,Technical Program Manager - Editor,Canva,"Sydney, New South Wales, Australia",Actively Hiring,2023-04-13,Mid-Senior level,Writing/Editing,Full-time,"Online Audio and Video Media, Book and Periodical Publishing, and Broadcast Media Production and Distribution",115886.0,154144.0,1706.0,31.0,4.0
27,Software Engineer - Java/Node.js,ThinkJS,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-07,Entry level,Engineering and Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Technology, Information and Media",149708.0,176582.0,3129.0,366.0,6.0
28,"
            
        Executive Assistant
      
          ","
            BBC Coffee Limited
          ","
            Southampton, England, United Kingdom
          ","
         Actively Hiring
      ",2023-01-27,"
          Full-time
        ",,,,94578.0,121448.0,2299.0,,8.0
29,Lead Legal Counsel,Tide,"Hyderabad, Telangana, India",Actively Hiring,2023-04-21,Mid-Senior level,Legal,Contract,Security and Investigations,140045.0,170503.0,4259.0,,
30,Associate/Sr Content writer,Quantzig,"Bengaluru, Karnataka, India",Actively Hiring,2023-03-27,Associate,Writing/Editing,Contract,Research Services,199458.0,224895.0,884.0,208.0,7.0
31,Site Reliability Engineer,IBM,"Pune, Maharashtra, India",Actively Hiring,2023-04-17,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,125853.0,146004.0,67.0,229.0,11.0
32,"
            
        Project Manager
      
          ","
            Orci
          ","
            Los Angeles, CA
          ",Actively Hiring,2023-02-14,"
            Associate
          ","
            Project Management and Information Technology
          ","
          Full-time
        ","
          Advertising Services
          ",157746.0,177780.0,139.0,113.0,6.0
33,"Engineering Manager, Blockchain (India)",BitGo,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-10,Mid-Senior level,Engineering and Information Technology,Full-time,Financial Services,46994.0,91254.0,1199.0,222.0,0.0
34,Counsel - Contracts Solutions GSK - IN,UnitedLex,"Gurgaon, Haryana, India",Actively Hiring,2023-04-16,Full-time,,,,113970.0,137471.0,,194.0,
35,"
            
        Content Writer
      
          ","
            MadHawks
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-02-28,"
            Entry level
          ","
            Marketing, Public Relations, and Writing/Editing
          ","
          Full-time
        ","
          Advertising Services
          ",88176.0,99173.0,2980.0,,6.0
36,Human Resources Generalist,Hello Hire Talent Solutions,"El Segundo, CA","Actively Hiring
           +6�benefits",2023-04-11,Full-time,,,,77617.0,83525.0,4362.0,70.0,7.0
37,"
            
        Technical Architect_Neha_Bluebrich_Bangalore
      
          ","
            CodersBrain
          ","
            Bengaluru North, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-28,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",170472.0,187297.0,4478.0,97.0,
38,"
            
        Senior Data Scientist
      
          ","
            Zupee
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-03-07,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Entertainment Providers
          ",,90082.0,,394.0,
39,"
            
        Executive Assistant, Octopus Real Estate
      
          ","
            Octopus
          ","
            London, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-15,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Financial Services
          ",191789.0,239301.0,3446.0,195.0,0.0
40,TypeScript Developer,AutogenAI,"London, England, United Kingdom",Actively Hiring,2023-04-17,Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet",194011.0,231697.0,3107.0,447.0,
41,Devops Engineer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-07,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,157595.0,166429.0,,61.0,2.0
42,Graphic Designer,"YinzCam, Inc.","Pittsburgh, PA","Actively Hiring
           +5�benefits",2023-03-01,Not Applicable,"Design, Art/Creative, and Information Technology",Full-time,"Transportation, Logistics, Supply Chain and Storage and Internet Publishing",49378.0,81903.0,4095.0,374.0,4.0
43,Product Manager,"Ellsworth Adjusting Services, Inc.","London, England, United Kingdom",Be an early applicant,2023-04-06,Mid-Senior level,"Finance, Product Management, and Information Technology",Full-time,Financial Services,158980.0,201670.0,999.0,8.0,6.0
44,Trading Analytics Manager (Data Scientist),Swish Analytics,"San Francisco, CA",Be an early applicant,2023-02-12,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,"Technology, Information and Internet",186151.0,201831.0,730.0,,2.0
